Albedo	NDVI_StdDev_Antalya	DEM	Aspect	Land_Cover	Precipitation	Slope	Soil_Organic_Carbon	Soil_pH	SoilpH	LST	Clay_Content	SoilTexture	LandUse	Annual_Temperature
132.25	0.031188	15	78.61307	60	991.314112	4.687246	340.333333	71.666667	72	314.726118	228	7	60	25.208333
152.756098	0.153374	37	90	60	978.626499	2.302155	260.666667	70.666667	71	310.706526	257.666667	7	10	25.208333
129.702703	0.109556	3	105.035	50	991.314112	3.570764	333.333333	<Null>	75	314.517619	<Null>	7	30	25.314583
187	0.057833	0	180	50	808.753117	1.854334	300.666667	69.333333	75	315.238821	297	4	50	25.460417
199.947368	0.129124	2	0	50	808.753117	1.854334	309	70.333333	76	316.045473	307.666667	4	50	25.460417
165.512821	0.065039	2	0	50	808.753117	0	348.666667	70.333333	75	315.238821	238.666667	4	50	24.6125
186.268293	0.160871	2	328.175	50	808.753117	2.182142	316	71.666667	74	315.372123	291	4	50	25.291667
181.390244	0.147769	1	51.14096	50	808.753117	1.477965	301.333333	70.333333	74	315.942933	320	4	50	25.460417
180.780488	0.172125	0	0	50	808.753117	0.92741	304.333333	69.333333	74	316.954667	287	4	50	25.460417
187.647059	0.122662	0	270	50	808.753117	1.150845	306.333333	69.666667	75	319.015733	293	4	50	25.460417
187.684211	0.133048	1	0	50	808.753117	0.92741	294	70.666667	76	315.146534	293.666667	4	50	25.460417
215.243902	0.114199	0	140.3944	60	821.668889	3.606714	<Null>	<Null>	74	315.939515	<Null>	4	10	25.497917
197.463415	0.18531	5	211.8271	50	821.668889	2.182192	<Null>	<Null>	73	314.958543	<Null>	7	50	25.489583
201.921053	0.113932	-1	270	60	821.668889	1.151046	<Null>	<Null>	73	316.411202	<Null>	7	50	25.497917
200.184211	0.10383	0	0	50	821.668889	0	419	70.666667	72	315.054248	322.333333	7	50	25.497917
161.853659	0.081945	7	148.1771	60	865.67949	2.182092	<Null>	<Null>	69	314.059604	<Null>	7	10	25.541667
169.804878	0.075609	7	148.1773	10	865.67949	2.182088	<Null>	<Null>	68	313.273459	<Null>	7	10	25.541667
175.02439	0.152342	15	0	40	865.67949	0	<Null>	<Null>	74	316.920487	<Null>	7	30	24.302083
180.317073	0.113153	13	180	60	865.67949	0.92741	<Null>	<Null>	72	316.277899	<Null>	7	30	24.302083
181.634146	0.098009	3	0	60	821.668889	0	<Null>	<Null>	72	315.129444	<Null>	7	30	25.489583
188.259259	0.077743	3	291.9398	50	821.668889	2.480811	<Null>	<Null>	72	314.931199	<Null>	7	50	25.489583
191.769231	0.123526	2	128.8578	50	821.668889	1.478004	<Null>	<Null>	72	316.718823	<Null>	7	50	25.497917
190.463415	0.147217	5	0	50	821.668889	0	<Null>	<Null>	72	316.17194	<Null>	4	50	25.489583
183.365854	0.131497	0	337.522	50	808.753117	3.00848	311.666667	70	72	314.387734	297	4	50	25.291667
189.815789	0.167836	2	180	50	821.668889	1.854334	305.666667	70	74	317.187092	325	7	50	25.460417
179.268293	0.121052	2	202.4752	50	808.753117	3.008419	<Null>	<Null>	76	317.470788	<Null>	4	50	25.460417
